Sector,Bank,Qtr,OUTSTANDING No. AT THE END OF THE PREVIOUS QUARTER,OUTSTANDING AMOUNT AT THE END OF THE PREVIOUS QUARTER,No. OF APPLICATION RECEIVED DURING THE QUARTER,No. OF APPLICATIONS SANCTIONED DURING THE QUARTER,TOTAL AMOUNT SANCTIONED DURING THE QUARTER,No. OF  DISBURSALS DURING THE QUARTER,TOTAL AMOUNT  DISBURSED DURING THE QUARTER,OUTSTANDING No. AT THE END OF THE QUARTER,TOTAL OUTSTANDING AMOUNT AT THE END OF THE QUARTER
Private,SOUTH INDIAN BANK LT,01-Jun-11,151104,115641.1,81867,84992,67522.41,64875,80270.85,144215.00,87217.27
Private,SOUTH INDIAN BANK LT,01-Sep-11,144215,87217.27,842,786,506,781,481.6,152430.00,100582.77
Private,SOUTH INDIAN BANK LT,01-Dec-11,152430,100582.77,7204,7154,4548.62,7154,4350.83,158009.00,99598.81
Private,SOUTH INDIAN BANK LT,01-Mar-12,158009,99598.81,8006,8006,4003.26,8006,4003.26,165286.00,103537.43
Private,SOUTH INDIAN BANK LT,01-Jun-12,165286,103537.43,46888,46888,26301.25,46888,26301.25,104327.00,82036.16
Private,SOUTH INDIAN BANK LT,01-Sep-12,104327,82036.16,34470,34470,23349.97,34470,23349.97,105309.00,84150.61
Private,SOUTH INDIAN BANK LT,01-Dec-12,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Mar-13,112481,91718.9,61970,61970,4094.44,61970,4094.44,122038.00,98276.35
Private,SOUTH INDIAN BANK LT,01-Jun-13,122038,98276.35,55169,55169,31401.68,55169,31401.68,80722.00,136463.3
Private,SOUTH INDIAN BANK LT,01-Sep-13,80722,136463.3,170481,170481,104225,170481,104225,126425.00,103706
Private,SOUTH INDIAN BANK LT,01-Dec-13,126425,103706,58000,58000,35408.57,58000,35408.57,128524.00,114282.87
Private,SOUTH INDIAN BANK LT,01-Mar-14,128524,114282.87,63060,63060,42514,63060,42514,129011.00,108491
Private,SOUTH INDIAN BANK LT,01-Jun-14,129011,108491,24823,24823,32972.54,24823,32972.54,130039.00,110434.88
Private,SOUTH INDIAN BANK LT,01-Sep-14,130039,110434.88,54853,54853,39734.7,54853,39734.25,140635.00,123496.21
Private,SOUTH INDIAN BANK LT,01-Dec-14,140635,123496.21,49544,49544,33692,49544,33692,130114.00,117540
Private,SOUTH INDIAN BANK LT,01-Mar-15,130114,117540,,,,,,127816.00,120764.34
Private,SOUTH INDIAN BANK LT,01-Jun-15,127816,120764.34,53740,53130,40365.11,53130,40365.11,127177.00,125953.73
Private,SOUTH INDIAN BANK LT,01-Sep-15,127177,125953.73,50434,50434,40294,50434,40294,126191.00,129839
Private,SOUTH INDIAN BANK LT,01-Dec-15,126191,129839,421,421,1333.44,1539,1161.7,126159.00,136036.16
Private,SOUTH INDIAN BANK LT,01-Mar-16,126159,136036.16,12589,11989,33234.76,52224,39804.35,131955.00,142066.81
Private,SOUTH INDIAN BANK LT,01-Jun-16,131955,142066.81,43633,43411,33295.87,44960,37296.1,127110.00,146791.69
Private,SOUTH INDIAN BANK LT,01-Sep-16,127110,146791.69,44206,44206,38774.34,55920,47075.63,128290.00,154842
Private,SOUTH INDIAN BANK LT,01-Dec-16,128290,154842,36833,36985,28521.76,36814,25382.28,131215.00,157263
Private,SOUTH INDIAN BANK LT,01-Mar-17,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Jun-17,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Sep-17,138264,175081.72,46580,46580,43911.35,46690,36268.56,140288.00,187250.52
Private,SOUTH INDIAN BANK LT,01-Dec-17,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Mar-18,142962,198922,48396,48396,50077,50630,53459,145849.00,214818
Private,SOUTH INDIAN BANK LT,01-Jun-18,145849,214818,45602,45602,44522,45686,41988,145285.00,225422
Private,SOUTH INDIAN BANK LT,01-Sep-18,145285,225422,44748,44748,43228,47608,48767,145527.00,232701
Private,SOUTH INDIAN BANK LT,01-Dec-18,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Mar-09,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Jun-09,647,538.01,1,1,0.12,1,0.12,648.00,537.01
Private,T.N.MERCANTILE BANK LTD,01-Sep-09,648,537.01,103,103,86.14,88,82.61,647.00,538.01
Private,T.N.MERCANTILE BANK LTD,01-Dec-09,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Mar-10,647,538.01,13,13,271.92,13,271.92,1967.00,1275.88
Private,T.N.MERCANTILE BANK LTD,01-Jun-10,1967,1275.88,535,535,186.87,423,192.55,1921.00,1253.4
Private,T.N.MERCANTILE BANK LTD,01-Sep-10,1921,1253.4,436,436,199.1,436,199.1,1884.00,1239.06
Private,T.N.MERCANTILE BANK LTD,01-Dec-10,1884,1239.06,512,468,3295.62,468,3263.88,1987.00,1423.9
Private,T.N.MERCANTILE BANK LTD,01-Mar-11,1987,1423.9,66,552,313.94,562,328.69,2042.00,1526.52
Private,T.N.MERCANTILE BANK LTD,01-Jun-11,2042,1526.52,120,547,221.6,555,252.82,2030.00,1580.51
Private,T.N.MERCANTILE BANK LTD,01-Sep-11,2030,1580.51,129,595,346.3,601,342.26,1957.00,1711.71
Private,T.N.MERCANTILE BANK LTD,01-Dec-11,1957,1711.71,2,416,286.25,425,291.54,1758.00,1624.32
Private,T.N.MERCANTILE BANK LTD,01-Mar-12,1758,1624.32,139,527,349.19,527,342.03,1786.00,1126.22
Private,T.N.MERCANTILE BANK LTD,01-Jun-12,1786,1126.22,166,665,396.42,204,103.18,2044.00,1893.86
Private,T.N.MERCANTILE BANK LTD,01-Sep-12,2044,1893.86,423,423,298.34,428,298.43,2028.00,1943.25
Private,T.N.MERCANTILE BANK LTD,01-Dec-12,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Mar-13,1554,2222.66,15,360,260.91,366,258.14,1516.00,2153.07
Private,T.N.MERCANTILE BANK LTD,01-Jun-13,1516,2153.07,22,89,377.42,95,389.96,886.00,1794.21
Private,T.N.MERCANTILE BANK LTD,01-Sep-13,886,1794.21,0,16,11.85,22,15.51,179.00,483.84
Private,T.N.MERCANTILE BANK LTD,01-Dec-13,179,483.84,22,153,161.84,162,154.25,714.00,1549.68
Private,T.N.MERCANTILE BANK LTD,01-Mar-14,714,1549.68,55,55,88.41,55,53.61,612.00,683.37
Private,T.N.MERCANTILE BANK LTD,01-Jun-14,612,683.37,170,417,253.42,583,257.53,1668.00,1266.32
Private,T.N.MERCANTILE BANK LTD,01-Sep-14,1668,1266.32,286,286,218.48,282,186.66,1539.00,1439.48
Private,T.N.MERCANTILE BANK LTD,01-Dec-14,1539,1439.48,0,0,74.15,43,40.15,339.00,1407
Private,T.N.MERCANTILE BANK LTD,01-Mar-15,339,1407,,,,,,0.00,0
Private,T.N.MERCANTILE BANK LTD,01-Jun-15,0,0,0,0,0,0,0,0.00,0
Private,T.N.MERCANTILE BANK LTD,01-Sep-15,0,0,0,0,0,0,0,135.00,200
Private,T.N.MERCANTILE BANK LTD,01-Dec-15,135,200,2,2,1.42,2,1.42,135.00,200
Private,T.N.MERCANTILE BANK LTD,01-Mar-16,135,200,6,2,1.42,2,1.42,139.00,203.62
Private,T.N.MERCANTILE BANK LTD,01-Jun-16,139,203.62,28,25,201.12,25,201.12,1939.00,233.36
Private,T.N.MERCANTILE BANK LTD,01-Sep-16,1939,233.36,145,145,49,145,49,145.00,40
Private,T.N.MERCANTILE BANK LTD,01-Dec-16,145,40,235,235,38,235,38,380.00,73
Private,T.N.MERCANTILE BANK LTD,01-Mar-17,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Jun-17,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Sep-17,138264,175081.72,46580,46580,43911.35,46690,36268.56,140288.00,187250.52
Private,T.N.MERCANTILE BANK LTD,01-Dec-17,,,,,,,,,
Private,T.N.MERCANTILE BANK LTD,01-Mar-18,718,248,184,112,184,112,184,830.00,432
Private,T.N.MERCANTILE BANK LTD,01-Jun-18,830,432,184,184,645,184,645,1014.00,1077
Private,T.N.MERCANTILE BANK LTD,01-Sep-18,1014,1077,322,312,612,312,584,1316.00,1661
Private,T.N.MERCANTILE BANK LTD,01-Dec-18,,,,,,,,,
Private,ING VYSYA BANK LTD,01-Mar-09,,,,,,,,,
Private,ING VYSYA BANK LTD,01-Jun-09,252,131.28,0,0,0,0,0,250.00,129.21
Private,ING VYSYA BANK LTD,01-Sep-09,250,129.21,0,0,0,6,0,250.00,129.34
Private,ING VYSYA BANK LTD,01-Dec-09,,,,,,,,,
Private,ING VYSYA BANK LTD,01-Mar-10,243,126.63,0,0,0,0,0,243.00,125.46
Private,ING VYSYA BANK LTD,01-Jun-10,243,125.46,4,4,4.76,4,3.75,243.00,125.46
Private,ING VYSYA BANK LTD,01-Sep-10,243,125.46,,0,0,0,0,222.00,121.65
Private,ING VYSYA BANK LTD,01-Dec-10,222,121.65,0,0,0,0,0,199.00,115.31
Private,ING VYSYA BANK LTD,01-Mar-11,199,115.31,0,0,0,0,0,191.00,84.29
Private,ING VYSYA BANK LTD,01-Jun-11,191,84.29,0,0,0,0,0,0.00,82.11
Private,ING VYSYA BANK LTD,01-Sep-11,0,82.11,0,0,0,0,0,180.00,79.32
Private,ING VYSYA BANK LTD,01-Dec-11,180,79.32,0,0,0,0,0,0.00,25.42
Private,ING VYSYA BANK LTD,01-Mar-12,0,25.42,0,0,0,0,0,106.00,26.69
Private,ING VYSYA BANK LTD,01-Jun-12,106,26.69,0,0,0,0,0,0.00,24.5
Private,ING VYSYA BANK LTD,01-Sep-12,0,24.5,2,0.85,0,0,0,93.00,24.79
Private,ING VYSYA BANK LTD,01-Dec-12,,,,,,,,,
Private,ING VYSYA BANK LTD,01-Mar-13,81,50.96,0,0,0,0,0,81.00,50.96
Private,ING VYSYA BANK LTD,01-Jun-13,81,50.96,0,0,0,0,0,72.00,18.93
Private,ING VYSYA BANK LTD,01-Sep-13,72,18.93,0,60,174.47,125,212.52,354.00,811.46
Private,ING VYSYA BANK LTD,01-Dec-13,354,811.46,0,0,0,0,0,71.00,18.74
Private,ING VYSYA BANK LTD,01-Mar-14,71,18.74,0,122,246.66,0,0,408.00,793.97
Private,ING VYSYA BANK LTD,01-Jun-14,408,793.97,0,77,86.2,143,126.57,370.00,558.72
Private,ING VYSYA BANK LTD,01-Sep-14,370,558.72,0,101,169.67,164,242.85,389.00,583.36
Private,ING VYSYA BANK LTD,01-Dec-14,389,583.36,0,93,175,144,229,410.00,691.2
Private,ING VYSYA BANK LTD,01-Mar-15,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Jun-15,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Sep-15,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Dec-15,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Mar-16,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Jun-16,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Sep-16,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Dec-16,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Mar-17,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Jun-17,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Sep-17,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Dec-17,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Mar-18,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Jun-18,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Sep-18,0,0,0,0,0,0,0,0.00,0
Private,ING VYSYA BANK LTD,01-Dec-18,,,,,,,,,
Private,CITY UNION BANK,01-Mar-09,,,,,,,,,
Private,CITY UNION BANK,01-Jun-09,76,52,0,0,0,0,0,50.00,16.84
Private,CITY UNION BANK,01-Sep-09,50,16.84,0,0,0,0,2.24,43.00,62.46
Private,CITY UNION BANK,01-Dec-09,,,,,,,,,
Private,CITY UNION BANK,01-Mar-10,37,51.37,0,0,0,0,0,20.00,19.21
Private,CITY UNION BANK,01-Jun-10,20,19.21,0,0,0,0,0,37.00,51.37
Private,CITY UNION BANK,01-Sep-10,37,51.37,0,0,0,0,0,37.00,51.37
Private,CITY UNION BANK,01-Dec-10,37,51.37,0,0,0,0,0,37.00,65.26
Private,CITY UNION BANK,01-Mar-11,37,65.26,0,0,0,0,0,21.00,52.81
Private,CITY UNION BANK,01-Jun-11,21,52.81,0,0,0,12,0.93,66.00,150.64
Private,CITY UNION BANK,01-Sep-11,66,150.64,0,4,4.76,4,4.76,69.00,155.21
Private,CITY UNION BANK,01-Dec-11,69,155.21,0,2,2.75,2,2.75,71.00,158.03
Private,CITY UNION BANK,01-Mar-12,71,158.03,4,4,4.3,3,3,74.00,161.03
Private,CITY UNION BANK,01-Jun-12,74,161.03,8,6,5.8,4,4.2,74.00,168.52
Private,CITY UNION BANK,01-Sep-12,74,168.52,6,4,4,4,4,77.00,172.36
Private,CITY UNION BANK,01-Dec-12,,,,,,,,,
Private,CITY UNION BANK,01-Mar-13,82,172.52,2,0,0,0,0,82.00,165.77
Private,CITY UNION BANK,01-Jun-13,82,165.77,2,0,0,0,0,82.00,165.77
Private,CITY UNION BANK,01-Sep-13,82,165.77,0,0,0,0,0,80.00,161
Private,CITY UNION BANK,01-Dec-13,80,161,0,0,0,0,0,80.00,160.51
Private,CITY UNION BANK,01-Mar-14,80,160.51,2,2,0,0,0,78.00,153
Private,CITY UNION BANK,01-Jun-14,78,153,0,0,0,0,0,75.00,151.84
Private,CITY UNION BANK,01-Sep-14,75,151.84,0,0,0,0,0,73.00,152
Private,CITY UNION BANK,01-Dec-14,73,152,0,0,0,0,0,66.00,150
Private,CITY UNION BANK,01-Mar-15,66,150,,,,,,62.00,146.96
Private,CITY UNION BANK,01-Jun-15,62,146.96,0,0,0,0,0,61.00,144.96
Private,CITY UNION BANK,01-Sep-15,61,144.96,0,0,0,0,0,61.00,145
Private,CITY UNION BANK,01-Dec-15,61,145,0,0,0,0,0,59.00,142.96
Private,CITY UNION BANK,01-Mar-16,59,142.96,0,0,0,0,0,56.00,140.76
Private,CITY UNION BANK,01-Jun-16,56,140.76,0,0,0,0,0,56.00,140.76
Private,CITY UNION BANK,01-Sep-16,56,140.76,0,0,0,0,0,56.00,140.76
Private,CITY UNION BANK,01-Dec-16,56,140.76,0,0,0,0,0,56.00,141
Private,CITY UNION BANK,01-Mar-17,,,,,,,,,
Private,CITY UNION BANK,01-Jun-17,,,,,,,,,
Private,CITY UNION BANK,01-Sep-17,0,0,0,0,0,0,0,0.00,0
Private,CITY UNION BANK,01-Dec-17,,,,,,,,,
Private,CITY UNION BANK,01-Mar-18,201,73,0,0,0,70,23,189.00,68
Private,CITY UNION BANK,01-Jun-18,189,68,0,0,0,90,48,227.00,97
Private,CITY UNION BANK,01-Sep-18,227,97,0,106,66,114,70,273.00,147
Private,CITY UNION BANK,01-Dec-18,,,,,,,,,
Private,INDUS IND BANK,01-Mar-09,,,,,,,,,
Private,INDUS IND BANK,01-Jun-09,60,67.61,0,0,0,0,0,60.00,67.61
Private,INDUS IND BANK,01-Sep-09,60,67.61,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-09,,,,,,,,,
Private,INDUS IND BANK,01-Mar-10,18,4.25,0,0,0,0,0,18.00,3.97
Private,INDUS IND BANK,01-Jun-10,18,3.97,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-10,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-10,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-11,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-11,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-11,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-11,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-12,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-12,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-12,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-12,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-13,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-13,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-13,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-13,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-14,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-14,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-14,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-14,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-15,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-15,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-15,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-15,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-16,0,0,0,0,0,0,0,44412.00,39397.79
Private,INDUS IND BANK,01-Jun-16,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-16,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-16,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-17,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-17,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-17,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-17,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Mar-18,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Jun-18,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Sep-18,0,0,0,0,0,0,0,0.00,0
Private,INDUS IND BANK,01-Dec-18,,,,,,,,,
Private,ICICI BANK LTD,01-Mar-09,,,,,,,,,
Private,ICICI BANK LTD,01-Jun-09,275,81.67,0,0,0,0,0,275.00,81.67
Private,ICICI BANK LTD,01-Sep-09,275,81.67,0,0,0,0,0,275.00,81.67
Private,ICICI BANK LTD,01-Dec-09,,,,,,,,,
Private,ICICI BANK LTD,01-Mar-10,275,81.67,0,0,0,0,0,275.00,81.67
Private,ICICI BANK LTD,01-Jun-10,275,81.67,0,0,0,0,0,275.00,81.6
Private,ICICI BANK LTD,01-Sep-10,275,81.6,0,0,0,0,0,275.00,81.67
Private,ICICI BANK LTD,01-Dec-10,275,81.67,0,0,0,0,0,275.00,81.67
Private,ICICI BANK LTD,01-Mar-11,275,81.67,0,0,0,0,0,274.00,81.67
Private,ICICI BANK LTD,01-Jun-11,274,81.67,1,1,1,1,1,415.00,66.48
Private,ICICI BANK LTD,01-Sep-11,415,66.48,0,0,0,0,0,464.00,73.57
Private,ICICI BANK LTD,01-Dec-11,464,73.57,12,5,5.5,5,5.5,454.00,76.8
Private,ICICI BANK LTD,01-Mar-12,454,76.8,0,0,0,0,0,440.00,74.28
Private,ICICI BANK LTD,01-Jun-12,440,74.28,0,64,59.15,4,1.7,369.00,65.46
Private,ICICI BANK LTD,01-Sep-12,369,65.46,0,0,0,0,0,369.00,65.46
Private,ICICI BANK LTD,01-Dec-12,,,,,,,,,
Private,ICICI BANK LTD,01-Mar-13,382,66.24,0,0,0,0,0,324.00,61.84
Private,ICICI BANK LTD,01-Jun-13,324,61.84,0,0,0,0,0,319.00,60.66
Private,ICICI BANK LTD,01-Sep-13,319,60.66,0,0,0,0,0,294.00,59.02
Private,ICICI BANK LTD,01-Dec-13,294,59.02,0,0,0,0,0,307.00,60.12
Private,ICICI BANK LTD,01-Mar-14,307,60.12,0,13,12.67,13,12.68,307.00,71.7
Private,ICICI BANK LTD,01-Jun-14,307,71.7,1502,1396,5407,1396,5407,1688.00,5456.7
Private,ICICI BANK LTD,01-Sep-14,1688,5456.7,0,0,0,0,0,5189.00,23180.7
Private,ICICI BANK LTD,01-Dec-14,5189,23180.7,0,0,0,0,0,9413.00,33444
Private,ICICI BANK LTD,01-Mar-15,9413,33444,,,,,,9956.00,37498.32
Private,ICICI BANK LTD,01-Jun-15,9956,37498.32,3130,3130,5948.58,3130,5948.58,10412.00,40118.58
Private,ICICI BANK LTD,01-Sep-15,10412,40118.58,3511,3511,7418,3511,7418,11146.00,44001
Private,ICICI BANK LTD,01-Dec-15,11146,44001,20,33,61,11,21,26127.00,209702.25
Private,ICICI BANK LTD,01-Mar-16,26127,209702.25,5730,5730,29831.94,5730,29831.94,28109.00,227286.81
Private,ICICI BANK LTD,01-Jun-16,28109,227286.81,94382,94382,558534.01,94382,558534.01,94382.00,558534
Private,ICICI BANK LTD,01-Sep-16,94382,558534,105864,105864,624026.87,105864,624027,105864.00,624027
Private,ICICI BANK LTD,01-Dec-16,105864,624027,34131,34131,81405.62,34131,81405.62,113297.00,664320.78
Private,ICICI BANK LTD,01-Mar-17,,,,,,,,,
Private,ICICI BANK LTD,01-Jun-17,,,,,,,,,
Private,ICICI BANK LTD,01-Sep-17,120701,645626.61,8513,8513,34680.46,8513,34680.46,41036.00,293065.9
Private,ICICI BANK LTD,01-Dec-17,,,,,,,,,
Private,ICICI BANK LTD,01-Mar-18,43491,305538,9901,9901,39800,9901,39800,45797.00,321531
Private,ICICI BANK LTD,01-Jun-18,45797,321531,9842,9842,33604,9842,33604,47624.00,330001
Private,ICICI BANK LTD,01-Sep-18,47624,330001,10786,10786,36704,10786,36704,49956.00,342221
Private,ICICI BANK LTD,01-Dec-18,,,,,,,,,
Private,HDFC BANK,01-Mar-09,,,,,,,,,
Private,HDFC BANK,01-Jun-09,22016,23830,1295,1295,2477,1295,2477,23291.00,23695
Private,HDFC BANK,01-Sep-09,23291,23695,3798,3798,7721,3798,7721,21518.00,24486
Private,HDFC BANK,01-Dec-09,,,,,,,,,
Private,HDFC BANK,01-Mar-10,20751,24501,1772,7067,15347,7067,15347,21450.00,25990
Private,HDFC BANK,01-Jun-10,21450,25990,2145,2145,4724.39,2145,4724.39,21757.00,27634.58
Private,HDFC BANK,01-Sep-10,21757,27634.58,4155,4155,9234.06,4155,9234.06,22099.00,28353.58
Private,HDFC BANK,01-Dec-10,22099,28353.58,6238,6238,14280.29,6238,14280.29,25693.00,47070.26
Private,HDFC BANK,01-Mar-11,25693,47070.26,8269,8269,8269,8269,8269,22545.00,29973
Private,HDFC BANK,01-Jun-11,22545,29973,191,191,271,191,271,895.00,1583
Private,HDFC BANK,01-Sep-11,895,1583,8269,4025,9998.61,4025,9998.61,24059.00,34408.92
Private,HDFC BANK,01-Dec-11,24059,34408.92,8540,5800,14148.5,5803,14149.5,24686.00,35622.4
Private,HDFC BANK,01-Mar-12,24686,35622.4,8269,5800,14148.26,5800,14148.26,24706.00,35629.72
Private,HDFC BANK,01-Jun-12,24706,35629.72,8329,2823,6822.2,2823,6822.7,24458.00,41622
Private,HDFC BANK,01-Sep-12,24458,41622,8406,6161,15113.95,6161,15113,25896.00,44917
Private,HDFC BANK,01-Dec-12,,,,,,,,,
Private,HDFC BANK,01-Mar-13,27609,47767.06,3401,3401,8974,3401,8974,29129.00,51195
Private,HDFC BANK,01-Jun-13,29129,51195,3659,3659,9291.68,3659,9291,30704.00,54895.49
Private,HDFC BANK,01-Sep-13,30704,54895.49,0,11658,29792.52,11658,29792.52,34053.00,62113.93
Private,HDFC BANK,01-Dec-13,34053,62113.93,0,3897,10321.46,3897,10321.46,32384.00,59027.9
Private,HDFC BANK,01-Mar-14,32384,59027.9,0,15953,40785.17,15949,40779.89,35527.00,64627.68
Private,HDFC BANK,01-Jun-14,35527,64627.68,0,3906,9929.41,3906,9929.41,36620.00,65694.77
Private,HDFC BANK,01-Sep-14,36620,65694.77,0,8653,22882.51,8653,22882.51,34628.00,63468.54
Private,HDFC BANK,01-Dec-14,34628,63468.54,0,19,48,10,31,346.00,643
Private,HDFC BANK,01-Mar-15,346,643,,,,,,450304.00,941318.38
Private,HDFC BANK,01-Jun-15,450304,941318.38,34409,34409,207799.98,34409,207799.98,460984.00,912953.63
Private,HDFC BANK,01-Sep-15,460984,912953.63,19977,19977,17425,19977,17425,65472.00,85795
Private,HDFC BANK,01-Dec-15,65472,85795,89,89,63.9,89,63.9,123443.00,100940.28
Private,HDFC BANK,01-Mar-16,123443,100940.28,20667,20667,16917.94,20667,16917.94,99589.00,96257.34
Private,HDFC BANK,01-Jun-16,99589,96257.34,13148,13148,16068.77,13148,16068.77,105969.00,99896.73
Private,HDFC BANK,01-Sep-16,105969,99896.73,32370,32370,26610.59,32370,26610.59,125695.00,113302.39
Private,HDFC BANK,01-Dec-16,125695,113302.39,30868,30868,23414.54,30868,23414.54,144441.00,122505.51
Private,HDFC BANK,01-Mar-17,,,,,,,,,
Private,HDFC BANK,01-Jun-17,,,,,,,,,
Private,HDFC BANK,01-Sep-17,191950,144020.77,37775,37775,35703.58,37775,35703.58,213408.00,161292.52
Private,HDFC BANK,01-Dec-17,,,,,,,,,
Private,HDFC BANK,01-Mar-18,233462,171163,45502,45502,33286,45502,33286,252957.00,182871
Private,HDFC BANK,01-Jun-18,252957,182871,35952,35952,32148,35952,32148,269934.00,191430
Private,HDFC BANK,01-Sep-18,269934,191430,38897,38897,35384,38897,35384,280349.00,202603
Private,HDFC BANK,01-Dec-18,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Mar-09,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Jun-09,7,62.42,0,0,0,0,0,7.00,60.41
Private,JAMMU & KASHMIR BANK,01-Sep-09,7,60.41,0,0,0,0,0,6.00,50.98
Private,JAMMU & KASHMIR BANK,01-Dec-09,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Mar-10,6,45.95,0,0,0,0,0,8.00,55.95
Private,JAMMU & KASHMIR BANK,01-Jun-10,8,55.95,0,0,0,0,0,6.00,39.97
Private,JAMMU & KASHMIR BANK,01-Sep-10,6,39.97,0,0,0,0,0,6.00,35.47
Private,JAMMU & KASHMIR BANK,01-Dec-10,6,35.47,0,0,0,0,0,6.00,41.49
Private,JAMMU & KASHMIR BANK,01-Mar-11,6,41.49,0,0,0,0,0,6.00,41.09
Private,JAMMU & KASHMIR BANK,01-Jun-11,6,41.09,0,0,0,0,0,6.00,39.89
Private,JAMMU & KASHMIR BANK,01-Sep-11,6,39.89,0,0,0,0,0,2.00,0.29
Private,JAMMU & KASHMIR BANK,01-Dec-11,2,0.29,0,0,0,0,0,2.00,0.29
Private,JAMMU & KASHMIR BANK,01-Mar-12,2,0.29,0,0,0,0,0,2.00,0.29
Private,JAMMU & KASHMIR BANK,01-Jun-12,2,0.29,0,0,0,0,0,2.00,0.29
Private,JAMMU & KASHMIR BANK,01-Sep-12,2,0.29,0,0,0,0,0,1.00,0.22
Private,JAMMU & KASHMIR BANK,01-Dec-12,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Mar-13,2,0.46,0,0,0,0,0,2.00,0.46
Private,JAMMU & KASHMIR BANK,01-Jun-13,2,0.46,0,0,0,0,0,2.00,0.46
